Common name,Taxonomy,Reef safe,Description,Max size,Salinity,Tank size,Temperature range,pH range,GH,KH,Nitrate,Dissolved Oxygen,Calcium,Magnesium,Phosphate,Alkalinity
Cross' damsel,Neoglyphidodon crossi,Yes:?202?,,13 cm (5.1 in),,,,,,,,,,,,
Domino damsel,Dascyllus trimaculatus,Yes,"also known as the three spot damsel, this fish is easy to care for, but is also very aggressive. The fish is black except for three distinct white spots that fade as the fish ages.",14 cm (5.5 in),,,,,,,,,,,,
Fiji blue devil damsel,Chrysiptera taupou,Yes,"This striking blue damsel is one of the most popular beginner fish. Like other damsels, it is very hardy, and very aggressive when mature.",8 cm (3.1 in),,,,,,,,,,,,
Four stripe damsel,Dascyllus melanurus,Yes,The four stripe damsel is a perfect beginner marine fish as it is very hardy. This fish is highly territorial and is best suited for a semi-aggressive to aggressive tank.,10 cm (3.9 in),,,,,,,,,,,,
Garibaldi damsel,Hypsypops rubicunda,Yes,These are temperate fish and require cooler water. They are much larger than most other damsels.,30 cm (11.8 in),,,,,,,,,,,,
Honey head damsel,Dischistodus prosopotaenia,Yes,,17 cm (6.7 in),,,,,,,,,,,,
Hawaiian Dascyllus,Dascyllus albisella,Yes,,12.5 cm (4.9 in),,,,,,,,,,,,
Jewel damsel,Microspathodon chrysurus,Yes,Among the largest and most aggressive Damsels,20 cm (7.9 in),,,,,,,,,,,,
King demoiselle,Chrysiptera rex,Yes:?198?,,7 cm (2.8 in),,,,,,,,,,,,
Lemon damsel,Pomacentrus moluccensis,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Longfin gregory,Stegastes diencaeus,Caution:?216?,"Turns brown, and becomes highly territorial as it ages",12.5 cm (4.9 in),,,,,,,,,,,,
Marginated damsel,Dascyllus marginatus,Yes,The marginated damsel is noted for blue fins as well as the yellow head and white body. This fish is hardy like most damsels and is also highly aggressive when mature.,6 cm (2.4 in),,,,,,,,,,,,
Neon damsel,Pomacentrus alleni,Yes,,6 cm (2.4 in),,,,,,,,,,,,
Ocellate damsel,Pomacentrus vaiuli,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Pavo damsel,Pomacentrus pavo,Yes:?215?,,11 cm (4.3 in),,,,,,,,,,,,
Pink Smith damsel,Pomacentrus smithi,Yes,,7 cm (2.8 in),,,,,,,,,,,,
Rolland's demoiselle,Chrysiptera rollandi,Yes:?202?,,6 cm (2.4 in),,,,,,,,,,,,
Sergeant major damsel,Abudefduf saxatilis,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Speckled damsel,Pomacentrus bankanensis,Yes:?216?,,9 cm (3.5 in),,,,,,,,,,,,
Springer's damsel,Chrysiptera springeri,Yes,,5.5 cm (2.2 in),,,,,,,,,,,,
Stark's damsel,Chrysiptera starcki,Yes,,7 cm (2.8 in),,,,,,,,,,,,
Talbots damsel,Chrysiptera talboti,Yes,This damselfish is somewhat a little more delicate than other. It does best in small groups in large tanks with good water quality and an SG of 1.026. Feed on a good diet for best results. Fairly peaceful.,8 cm (3.1 in),,,,,,,,,,,,
Three stripe damsel,Dascyllus aruanus,Yes,Highly aggressive and territorial. Will harass fish many times its size. Best kept in an aggressive/semi-aggressive tank.,10 cm (3.9 in),,,,,,,,,,,,
Three Spot damsel,Stegastes planifrons,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Tuxedo damsel,Chrysiptera tricincta,Yes,,6 cm (2.4 in),,,,,,,,,,,,
Two stripe damsel,Dascyllus reticulatus,Yes,"the two stripe damsel is a very hardy fish. This fish is perfect for the beginner marine aquarist, as it can tolerate substandard water quality. This fish is highly aggressive, and requires many hiding places.",10 cm (3.9 in),,,,,,,,,,,,
Yellow damsel,Amblyglyphidodon aureus,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Yellow threespot Dascyllus,Dascyllus auripinnis,Yes:?205?,,14.5 cm (5.7 in),,,,,,,,,,,,
Yellowbelly damsel,Pomacentrus auriventris,Yes,,5.5 cm (2.2 in),,,,,,,,,,,,
Yellowtail Dascyllus,Dascyllus flavicaudus,Yes,,12 cm (4.7 in),,,,,,,,,,,,
Yellowtail damsel,Chrysiptera parasema,Yes,The yellowtail damsel possess an all blue body with a striking yellow tail. This damsel is a good beginner fish as it is very hardy and can tolerate substandard water quality. This damsel is also less aggressive than some other damsel species.,8 cm (3.1 in),,,,,,,,,,,,
Yellowtail demoiselle,Neopomacentrus azysron,Yes,,7.5 cm (3.0 in),,,,,,,,,,,,
Blue gudgeon dartfish,Ptereleotris hanae,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Fire fish,Nemateleotris magnifica,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Purple fire fish,Nemateleotris decora,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Scissortail dartfish,Ptereleotris evides,Yes,,14 cm (5.5 in),,,,,,,,,,,,
Zebra barred dartfish,Ptereleotris zebra,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Banded snake eel,Myrichthys colubrinus,No,,97 cm (38.2 in),,,,,,,,,,,,
Banded eel,Echidna polyzona,No,,69 cm (27.2 in),,,,,,,,,,,,
Black edge moray eel,Gymnothorax saxicola,No,,60 cm (23.6 in),,,,,,,,,,,,
"Blue ribbon eel, black ribbon eel",Rhinomuraena quaesita,No,,130 cm (51.2 in),,,,,,,,,,,,
Chainlink moray eel,Echidna catenata,No,Can be kept with fish too small to swallow,165 cm (65.0 in),,,,,,,,,,,,
Dragon moray eel,Enchelycore pardalis,No,A fish eater that will eat anything it can fit in its mouth. When available is typically quite expensive,92 cm (36.2 in),,,,,,,,,,,,
Golden dwarf eel,Gymnothorax melatremus,Yes,"Rarely available, among the smallest of the moray eels",26 cm (10.2 in),,,,,,,,,,,,
Golden moray eel,Gymnothorax miliaris,May eat fish and shrimp,"These fish should only be kept in fish-only tanks as any small invertebrates will be looked on as food. Keep with fish large enough not to be eaten. Feed on a diet of whitefish, cockles, cod roe, haddock and frozen foods.",70.0 cm (27.6 in),,,,,,,,,,,,
Green moray eel,Gymnothorax funebris,No,"Requires a 180-gallon tank with tight fitting lid. Compatible with rays, sharks, and other large fish.",250 cm (98.4 in),,,,,,,,,,,,
Jeweled moray eel,Muraena lentiginosa,No,,61 cm (24.0 in),,,,,,,,,,,,
Kidako moray eel,Gymnothorax kidako,No,,91 cm (35.8 in),,,,,,,,,,,,
Peppered moray,Gymnothorax picta,No,,135 cm (53.1 in),,,,,,,,,,,,
Snowflake eel,Echidna nebulosa,May eat shrimp if underfed,A pebble-tooth moray that generally eats crustaceans and similar. Safer in reef aquariums than other species but be prepared to remove it in case it starts to eat desired invertebrates.,100 cm (39.4 in),,,,,,,,,,,,
Spotted garden-eel,Heteroconger hassi,With Caution,"NEEDS a very deep substrate (8 inches) and only eats plankton, when housing multiple make sure that there is enough space for each eels to be far enough away from each other",40 cm (15.7 in),,,,,,,,,,,,
Spotted Snake eel,Myrichthys maculosus,No,Requires at least six in of substrate,100 cm (39.4 in),,,,,,,,,,,,
"Tessalata eel, or laced moray",Gymnothorax favagineus,No,,300 cm (118.1 in),,,,,,,,,,,,
Yellowhead moray eel,Gymnothorax fimbriatus,No,,80 cm (31.5 in),,,,,,,,,,,,
Yellow mouth moray eel,Gymnothorax nudivomer,No,,178 cm (70.1 in),,,,,,,,,,,,
Whitemouth moray eel,Gymnothorax meleagris,With Caution,,120 cm (47.2 in),,,,,,,,,,,,
Zebra moray,Gymnomuraena zebra,No,"One of the easier moray eels to keep, is usually safe with most fish but will eat most invertebrates.",150 cm (59.1 in),,,,,,,,,,,,
Clown filefish,Cantherhines dumerili,Caution,,38 cm (15.0 in),,,,,,,,,,,,
Colored filefish,Pervagor melanocephalus,Caution,,15 cm (5.9 in),,,,,,,,,,,,
Fantail orange filefish,Pervagor spilosoma,No,,18 cm (7.1 in),,,,,,,,,,,,
Horseshoe filefish,Meuschenia hippocrepis,No,,51 cm (20.1 in),,,,,,,,,,,,
Japanese filefish,Paramonacanthus japonicus,No,,13 cm (5.1 in),,,,,,,,,,,,
Mimic filefish,Paraluteres prionurus,No,,11 cm (4.3 in),,,,,,,,,,,,
Orange spotted filefish,Oxymonacanthus longirostris,No,,13 cm (5.1 in),,,,,,,,,,,,
Tassle filefish,Chaetodermis penicilligerus,Caution,,30 cm (11.8 in),,,,,,,,,,,,
Peacock flounder,Bothus lunatus,No,Moderate,,46 cm (18.1 in),,,,,,,,,,,
Flowery (Indo-Pacific peacock) flounder,Bothus mancus,with caution,Moderate,,45 cm (17.7 in),,,,,,,,,,,
Banded sole,Soleichthys heterorhinos,"Will eat shrimp and other invertebrates, will not harm coral:?413?",Moderate:?413?,,18 cm (7.1 in),,,,,,,,,,,
Longlure frogfish,Antennarius multiocellatus,No,,20 cm,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,(7.9 in),,,,,,,,,,,,
Giant anglerfish,Antennarius commerson,No,,38 cm (15.0 in),,,,,,,,,,,,
Sargassum frogfish,Histrio histrio,No,,20 cm (7.9 in),,,,,,,,,,,,
Striated frogfish,Antennarius striatus,No,,15 cm (5.9 in),,,,,,,,,,,,
Wartskin frogfish,Antennarius maculatus,No,Has the ability to change color to match its surrounding.,10 cm (3.9 in),,,,,,,,,,,,
Bicolor goatfish,Parupeneus barberinoides,With Caution,,25 cm (9.8 in),,,,,,,,,,,,
Goldsaddle goatfish,Parupeneus cyclostomus,With Caution,,51 cm (20.1 in),,,,,,,,,,,,
Manybar goatfish,Parupeneus multifasciatus,With Caution,,30 cm (11.8 in),,,,,,,,,,,,
Yellow back goatfish,Parupeneus barberinus,With Caution,,41 cm (16.1 in),,,,,,,,,,,,
Black barred convict goby,Priolepis nocturna,Yes,,4 cm (1.6 in),,,,,,,,,,,,
Black clown goby,Gobiodon acicularis,Mostly; can destroy unhealthy Acropora by laying its eggs in the coral's tissue,"Similar to Yellow clown goby, but black",,,,,,,,,,,,,
Bluespotted watchman goby,Cryptocentrus pavoninoides,Yes,,12 cm (4.7 in),,,,,,,,,,,,
Catalina goby,Lythrypnus dalli,Yes,A cold water species that doesn't live long at reef temperatures.,5 cm (2.0 in),,,,,,,,,,,,
Cave transparent goby,Coryphopterus glaucofraenum,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Citron clown goby,Gobiodon citrinus,Mostly; can destroy unhealthy Acropora by laying its eggs in the coral's tissue,,8 cm (3.1 in),,,,,,,,,,,,
Court jester goby,Amblygobius rainfordi,,,6 cm (2.4 in),,,,,,,,,,,,
Diagonal bar prawn goby,Amblyeleotris diagonalis,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Diamond watchman goby,Valenciennea puellaris,Yes,Burrow and sift sand constantly; very good algae eaters,20 cm (7.9 in),,,,,,,,,,,,
Dracula goby,Stonogobiops dracula,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Gold neon eviota goby,Eviota pellucida,Yes,,3 cm (1.2 in),,,,,,,,,,,,
Green banded goby,Elacatinus multifasciatus,Yes,Small burrowing goby with green vertical stripes,3.5 cm (1.4 in),,,,,,,,,,,,
Green clown goby,Gobiodon atrangulatus,Yes,,4 cm (1.6 in),,,,,,,,,,,,
Hector's goby,Amblygobius hectori,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Hi fin red banded goby,Stonogobiops nematodes,Yes,,5 cm (2.0 in),,,,,,,,,,,,
Neon goby,Elacatinus oceanops,Yes,A Caribbean cleaner species that sometimes eats larger parasites from other fish.,,,,,,,,,,,,,
Orange marked goby,Amblygobius decussatus,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Orange spotted goby,Amblyeleotris guttata,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Orange stripe prawn goby,Amblyeleotris randalli,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Pinkspotted shrimp goby,Gobius melanopus,May eat ornamental shrimp,White fish with pink bands around the body and pink spots on face and fins. One of the most handsome members of the group.,15 cm (5.9 in),,,,,,,,,,,,
Pinkbar goby,Cryptocentrus aurora,Yes,,10 cm (3.9 in),,,,,,,,,,,,
Red head goby,Elacatinus puncticulatus,Yes,"A small goby that can clean like the neon goby but is easily frightened. Often said to 'disappear' in a larger tank, as it never swims out into view.",5 cm (2.0 in),,,,,,,,,,,,
Red striped goby,Trimma cana,Yes,,3 cm (1.2 in),,,,,,,,,,,,
Sleeper banded goby,Amblygobius phalaena,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Sleeper blue dot goby,Valenciennea sexguttata,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Sleeper gold head goby,Valenciennea strigata,Yes,,13 cm (5.1 in),,,,,,,,,,,,
Sleeper railway glider goby,Valenciennea helsdingenii,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Sleeper striped goby,Valenciennea longipinnis,Yes,,15 cm (5.9 in),,,,,,,,,,,,
Steinitz goby,Amblyeleotris steinitzi,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Tangaroa goby,Ctenogobiops tangaroai,Yes,,5 cm (2.0 in),,,,,,,,,,,,
Tiger watchman goby,Valenciennea wardii,Yes,,12 cm (4.7 in),,,,,,,,,,,,
Two spot goby,Signigobius biocellatus,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Violet goby,Gobioides broussonnetii,No,Also a freshwater and brackish water fish and often sold as Dragon Fish or Dragon Goby,"21""",,,,,,,,,,,,
Wheeler's watchman goby,Amblyeleotris wheeleri,Yes,,8 cm (3.1 in),,,,,,,,,,,,
Yellow watchman goby,Cryptocentrus cinctus,Yes,"A species of ""watchman"" or ""shrimp"" goby that can form a symbiotic relationship with pistol shrimp",7 cm (2.8 in),,,,,,,,,,,,
Yasha goby,Stonogobiops yasha,Yes,"A species of ""watchman"" or ""shrimp"" goby that will form a symbiotic relationship with the red and white banded pistol shrimp, Alpheus randalli.",6 cm (2.4 in),,,,,,,,,,,,
Yellow clown goby,Gobiodon okinawae,Yes,Small yellow fish that likes branching corals,3.5 cm (1.4 in),,,,,,,,,,,,
Yellow priolepis goby,Priolepis aureoviridis,Yes,,6 cm (2.4 in),,,,,,,,,,,,
Yellow stripe clingfish,Diademichthys lineatus,Yes,,5 cm (2.0 in),,,,,,,,,,,,
Flaming Prawn Goby,Discordipinna griessingeri,Yes,A very small goby species with bright colors and a large dorsal fin. Hides in crevices and holes during the day and is nocturnal.,1.8 cm (0.7in),,,,,,,,,,,,
Crescent banded grunt,Terapon jarbua,No,,,,,,,,,,,,,,
Dogfish prientalis,Plectorhinchus lineatus,No,,86 cm (33.9 in),,,,,,,,,,,,
Oriental sweetlips,Plectorhinchus orientalis,No,,84 cm (33.1 in),,,,,,,,,,,,
Painted sweetlips,Plectorhinchus picus,No,,84 cm (33.1 in),,,,,,,,,,,,
Porkfish,Anisotremus virginicus,No,,41 cm (16.1 in),,,,,,,,,,,,
Spotted sweetlips,Plectorhinchus chaetodonoides,No,,74 cm (29.1 in),,,,,,,,,,,,
Striped sweetlips,Plectorhinchus diagrammus,No,,51 cm (20.1 in),,,,,,,,,,,,
Twostriped sweetlips,Plectorhinchus albovittatus,No,,99 cm (39.0 in),,,,,,,,,,,,
Barred hamlet,Hypoplectrus puella,No,,15 cm (5.9 in),,,,,,,,,,,,
Black hamlet,Hypoplectrus nigricans,No,,15 cm (5.9 in),,,,,,,,,,,,
Blue hamlet,Hypoplectrus gemma,Not with shrimp,,13 cm (5.1 in),,,,,,,,,,,,
Butter hamlet,Hypoplectrus unicolor,Not with shrimp,,13 cm (5.1 in),,,,,,,,,,,,
Golden hamlet,Hypoplectrus gummigutta,Not with shrimp,,,,,,,,,,,,,,
Indigo hamlet,Hypoplectrus indigo,,,14 cm (5.5 in),,,,,,,,,,,,
Shy hamlet,Hypoplectrus guttavarius,Not with shrimp,,13 cm (5.1 in),,,,,,,,,,,,
Arc eye hawkfish,Paracirrhites arcatus,Caution; will eat shrimp:?127?,"Brown to yellow body with reddish dorsal fin, distinctive white caudal fin, and small semicircular marking behind eye.",20 cm (7.9 in),,,,,,,,,,,,
Blood red hawkfish,Cirrhitichthys fasciatus,Caution; will eat shrimp:?123?,,12.7 cm (5.0 in),,,,,,,,,,,,
Coral hawkfish,Cirrhitichthys oxycephalus,Caution; may eat small shrimp:?122?,,8.5 cm (3.3 in),,,,,,,,,,,,
Falco's hawkfish,Cirrhitichthys falco,Caution; may eat small shrimp:?122?,,7 cm (2.8 in),,,,,,,,,,,,
Flame hawkfish,Neocirrhitus armatus,Caution; may eat small shrimp:?125?,Striking red body with black on fin tips and yellow lips.,9 cm (3.5 in),,,,,,,,,,,,
Freckled hawkfish,Paracirrhites forsteri,Caution; will eat shrimp:?128?,,22.5 cm (8.9 in),,,,,,,,,,,,
Golden hawkfish,Paracirrhites xanthus,Caution; will eat shrimp:?128?,,12 cm (4.7 in),,,,,,,,,,,,
Longnose hawkfish,Oxycirrhites typus,Caution; may eat small shrimp:?126?,White with red lattice-like markings resembling a grid. Nose is elongated and tissue between the spines of the dorsal fin is missing.,13 cm (5.1 in),,,,,,,,,,,,
Lyretail hawkfish,Cirrhitichthys polyactis,Caution; may eat small shrimp:?124?,,14 cm (5.5 in),,,,,,,,,,,,
Redspotted hawkfish,Amblycirrhitus pinos,Caution; may eat small shrimp:?120?,,9.5 cm (3.7 in),,,,,,,,,,,,
Spotted hawkfish,Cirrhitichthys aprinus,Caution; may eat small shrimp:?122?,"Bright red with distinctive diamond shaped markings down back, becoming darker towards the topside of body.",12.5 cm (4.9 in),,,,,,,,,,,,
Whitespot hawkfish,Paracirrhites hemistictus,Caution; will eat shrimp:?128?,,29 cm (11.4 in),,,,,,,,,,,,
Yellow hawkfish,Cirrhitichthys aureus,Caution; may eat small shrimp:?122?,,7 cm (2.8 in),,,,,,,,,,,,
Coral hogfish,Bodianus mesothorax,No,,20 cm (7.9 in),,,,,,,,,,,,
Cuban hogfish,Bodianus pulchellus,Caution,,28.5 cm (11.2 in),,,,,,,,,,,,
Hawaiian hogfish,Bodianus bilunulatus,Caution,,55 cm (21.7 in),,,,,,,,,,,,
Red diana hogfish,Bodianus diana,No,,60 cm (23.6 in),,,,,,,,,,,,
Spanish hogfish,Bodianus rufus,No,,40 cm (15.7 in),,,,,,,,,,,,
Twin spot hogfish,Bodianus bimaculatus,No,,10 cm (3.9 in),,,,,,,,,,,,
Moorish idol,Zanclus cornutus,With Caution,,23 cm (9.1 in),,,,,,,,,,,,
Pilot fish,Naucrates ductor,?,"Because they live in the open ocean, they are rare in the aquarium trade. They host sharks, rays, and sea turtles[circular reference] and eat food scraps, ectoparasites, and possibly the feces of their host. Juvenile Golden trevally are occasionally sold as Pilot fish. In the picture, the Pilot fish are hosting an Oceanic whitetip shark.",70 cm (27.6 in),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Golden trevally,Gnathanodon speciosus,No,,,,,,,,,,,,,,
Indian threadfin,Alectis indicus,No,,165 cm (65.0 in),,,,,,,,,,,,
Threadfin lookdown,Selene vomer,No,,48 cm (18.9 in),,,,,,,,,,,,
Black cap jawfish,Opistognathus lonchurus,Almost always,Requires a 30-gallon tank and 3 inches (7.6 cm) substrate. Tank should remain tightly lidded. May eat small shrimp.,10 cm (3.9 in),,,,,,,,,,,,
Blue dot jawfish,Opistognathus rosenblatti,Yes,,9 cm (3.5 in),,,,,,,,,,,,
Dusky jawfish,Opistognathus whitehurstii,Yes,Requires a 30-gallon tank and 3 inches (7.6 cm) sand substrate. Tank should remain tightly lidded.,14 cm (5.5 in),,,,,,,,,,,,
Yellowhead jawfish,Opistognathus aurifrons,Yes,Requires a 30-gallon tank and 5–7 inches (13–18 cm) soft substrate. Tank should remain tightly lidded.,10 cm (3.9 in),,,,,,,,,,,,
Antenneta lionfish,Pterois antennata,Caution,,20 cm (7.9 in),,,,,,,,,,,,
Blackfoot lionfish,Parapterois heterura,Caution,,23.0 cm (9.1 in),,,,,,,,,,,,
Devil lionfish,Pterois mombasae,Caution,,20 cm (7.9 in),,,,,,,,,,,,
Fu Man Chu lionfish,Dendrochirus biocellatus,Caution,,13.0 cm (5.1 in),,,,,,,,,,,,
Fuzzy dwarf lionfish,Dendrochirus brachypterus,Caution,Carnivore; Males 6< stripes on pectoral fin femals >6,18 cm (7.1 in),,,,,,,,,,,,
Green lionfish,Dendrochirus barberi,Caution,,16.5 cm (6.5 in),,,,,,,,,,,,
Radiata lionfish,Pterois radiata,,,24 cm (9.4 in),,,,,,,,,,,,
Russell's lionfish,Pterois russelii,,,30 cm (11.8 in),,,,,,,,,,,,
Volitan lionfish,Pterois volitans,Caution,Semi-aggressive; carnivore,43 cm (16.9 in),,,,,,,,,,,,
Zebra lionfish,Dendrochirus zebra,Caution,,25 cm (9.8 in),,,,,,,,,,,,
Bicolor parrotfish,Cetoscarus bicolor,No,,76 cm (29.9 in),,,,,,,,,,,,
Princess parrotfish,Scarus taeniopterus,No,,25 cm (9.8 in),,,,,,,,,,,,
Banded pipefish,Doryrhamphus dactyliophorus,Yes,,20 cm (7.9 in),,,,,,,,,,,,
Dragonface pipefish,Corythoichthys haematopterus,Yes,,18 cm (7.1 in),,,,,,,,,,,,
Janss' pipefish,Doryrhamphus janssi,Yes,,20 cm (7.9 in),,,,,,,,,,,,
Yellow multibanded pipefish,Doryrhamphus pessuliferus,Yes,,18 cm (7.1 in),,,,,,,,,,,,
Allen's dottyback,Manonichthys alleni,May eat shrimps:?106?,,12 cm (4.7 in),,,,,,,,,,,,
Australian multicolor pseudochromis,Ogilbyina novaehollandiae,May eat shrimps,,10 cm (3.9 in),,,,,,,,,,,,
Bicolor pseudochromis,Pseudochromis paccagnellae,May eat shrimps,"Resembles royal gramma in coloration. The bicolor pseudochromis is semi-aggressive and will defend its territory against fish several times its size. This fish is fairly hardy, and is a good beginner fish.",6 cm (2.4 in),,,,,,,,,,,,
Blue flavivertex pseudochromis,Pseudochromis flavivertex,May eat shrimps,Captive bred specimens are sometimes available,8 cm (3.1 in),,,,,,,,,,,,
Bluelined dottyback,Pseudochromis cyanotaenia,May eat shrimps:?106?,,6.1 cm (2.4 in),,,,,,,,,,,,
Brown dottyback or yellow pseudochromis,Pseudochromis aureus,May eat shrimps,,10 cm (3.9 in),,,,,,,,,,,,
Cherry dottyback,Pholidochromis cerasina,May eat shrimps:?96?,,7.9 cm (3.1 in),,,,,,,,,,,,
Dilectus dottyback,Pseudochromis dilectus,May eat shrimps,,,,,,,,,,,,,,
Dusky dottyback,Pseudochromis fuscus,May eat shrimps,,10 cm (3.9 in),,,,,,,,,,,,
Elongate dottyback,Pseudochromis elongatus,May eat shrimps:?107?,,6.4 cm (2.5 in),,,,,,,,,,,,
Firetail dottyback,Pseudochromis flammicauda,May eat shrimps:?107?,,5.6 cm (2.2 in),,,,,,,,,,,,
Fridmani pseudochromis or orchid dottyback,Pseudochromis fridmani,May eat shrimps,Community fish does well in most aquariums. is not nearly as aggressive as other dottybacks.,8 cm (3.1 in),,,,,,,,,,,,
Longfin dottyback,Manonichthys polynemus,May eat shrimps:?106?,,12 cm (4.7 in),,,,,,,,,,,,
Lyretail dottyback,Pseudochromis steenei,May eat shrimps,,12 cm (4.7 in),,,,,,,,,,,,
"Neon pseudochromis, Arabian dottyback or neon dottyback",Pseudochromis aldabraensis,May eat shrimps,Captive bred specimens are sometimes available,10 cm (3.9 in),,,,,,,,,,,,
Oblique-lined dottyback,Cypho purpurascens,May eat shrimps:?91?,,7.4 cm (2.9 in),,,,,,,,,,,,
Orangetail dottyback,Pseudochromis coccinicauda,May eat shrimps:?102?,,5.8 cm (2.3 in),,,,,,,,,,,,
Purple stripe pseudochromis or diadema basslet,Pseudochromis diadema,May eat shrimps,,6 cm (2.4 in),,,,,,,,,,,,
Red dottyback,Labracinus cyclophthalmus,With Caution,Large and aggressive for a dottyback,22 cm (8.7 in),,,,,,,,,,,,
Sailfin pseudochromis,Pseudochromis veliferus,May eat shrimps,,12 cm (4.7 in),,,,,,,,,,,,
Splendid pseudochromis,Pseudochromis splendens,May eat shrimps,,13 cm (5.1 in),,,,,,,,,,,,
Springeri pseudochromis,Pseudochromis springeri,May eat shrimps,Captive bred species are sometimes available,5 cm (2.0 in),,,,,,,,,,,,
Striped dottyback,Pseudochromis sankeyi,May eat shrimps,Captive bred specimens are sometimes available,8 cm (3.1 in),,,,,,,,,,,,
Strawberry pseudochromis or purple pseudochromis,Pseudochromis porphyreus,May eat shrimps,"A generally hardy fish, resembles the orchid dottyback, in that the body is a solid purple (sometimes pink), but is missing the black line/marking through the eye characteristic of orchids. This fish semi-aggressive in a home aquarium.",6 cm (2.4 in),,,,,,,,,,,,
Twolined dottyback,Pseudochromis bitaeniatus,May eat shrimps:?101?,,6.9 cm (2.7 in),,,,,,,,,,,,
Carpet eel-blenny,Congrogadus subducens,with caution,"Despite being eel-like in appearance, Carpet eel-blennies are part of the family pseudochromidae.",45 cm (17.7 in),,,,,,,,,,,,
Bicolor Foxface,Siganus uspi,With Caution,,24 cm (9.4 in),,,,,,,,,,,,
Blue-Lined Rabbitfish,Siganus doliatus,With Caution,,25 cm (9.8 in),,,,,,,,,,,,
Foxface,Siganus vulpinus,,they have poisonous spines,23 cm (9.1 in),,,,,,,,,,,,
Magnificent foxface,Siganus magnificus,,,24 cm (9.4 in),,,,,,,,,,,,
One Spot Foxface,Siganus unimaculatus,With Caution,,18 cm (7.1 in),,,,,,,,,,,,
Yellow Blotch Rabbitfish,Siganus guttatus,With Caution,,42 cm (16.5 in),,,,,,,,,,,,
Round stingray,Urobatis halleri,No,"Requires a minimum 180 gallon aquarium. Recently purchased individuals can be startled easily by quick movements and loud noises, but they will become quite tame after spending a while in captivity. Unhealthy individuals will become a light grey color and their markings will fade. Occasionally called the Cortez ray and thus misidentified as Urobatis maculatus.",58 cm (22.8 in),,,,,,,,,,,,
Cortez round stingray,Urobatis maculatus,No,Requires a minimum 180 gallon aquarium and is hardy and attains a small size although rarely available[citation needed]. May be misidentified with Urobatis halleri as that species is occasionally called the Cortez ray.,42 cm (16.5 in),,,,,,,,,,,,
Bullseye round stingray,Urobatis concentricus,No,Requires a minimum 180 gallon aquarium. An occasionally available. A hardy species.,47.5 cm (18.7 in),,,,,,,,,,,,
Leopard round stingray,Urobatis pardalis,No,Probably is a hardy species.,46.2 cm (18.2 in),,,,,,,,,,,,
Yellow stingray,Urobatis jamaicensis,No,Requires a minimum 180 gallon aquarium and readily acclimates to suitable captive environments. It is also readily available in the aquarium trade and will eat any small fish that it can catch.,76 cm (29.9 in),,,,,,,,,,,,
Chilean round ray,Urotrygon chilensis,No,Requires a minimum 180 gallon aquarium. It is small and well suited for captivity.,41.9 cm (16.5 in),,,,,,,,,,,,
Bluespotted ribbontail ray,Taeniura lymma,No,Requires a minimum 260 gallon aquarium. It is notorious for doing terribly in aquarium confines. Many individuals never eat and others may die or stop feeding for no apparent reason. Force-feeding shows promise with this species. Not to confused with the Bluespotted stingray Neotrygon kuhlii.,35 cm (13.8 in),,,,,,,,,,,,
Bluespotted stingray,Neotrygon kuhlii,No,"Requires a minimum 260 gallon aquarium and is quite hardy, however it should not be disturbed as it acclimates to aquarium life (which takes around 2–3 days). Provide it with a 5 cm (2 in) deep fine sand bed. Do not confuse this species with the much less hardy Bluespotted ribbontail ray Taeniura lymma.",70 cm (27.6 in),,,,,,,,,,,,
Southern stingray,Hypanus americanus,No,"Requires a minimum 4,200 gallon aquarium as this ray grows to a very large size. It is quite hardy, yet it will devour any fish or invertebrate it can capture.",200 cm (78.7 in),,,,,,,,,,,,
